text,flag
"['aand', 'mat', 'kaha']",1
"['baap', 'ke', 'lavde']",1
['bakrichod'],1
['balatkaar'],1
"['basi', 'lund']",1
"['behen', 'ke', 'laude']",1
"['bell', 'bula']",1
['betichod'],1
"['bhai', 'chhod', 'bhayee', 'chod']",1
"['bhen', 'chhod', 'bhaynchod']",1
"['bhen', 'ke', 'lode']",1
['bhosdi'],1
['bhosdike'],1
['bihari'],1
"['chipkai', 'ki', 'choot', 'ke', 'paseene']",1
"['cha', 'cha', 'chod']",1
"['chipkali', 'ke', 'jhat', 'ka', 'baal']",1
"['chod', 'ke', 'bal', 'ka', 'kida']",1
"['chopre', 'he', 'randi']",1
['chorichod'],1
['chudasi'],1
"['chut', 'ka', 'maindak']",1
"['chut', 'ke', 'chatore']",1
['chutia'],1
"['chutiya', 'chootia']",1
['delhi'],1
"['dheeli', 'choot']",1
"['gaand', 'chaat', 'mera']",1
"['gaand', 'chaatu']",1
"['gaand', 'gaand']",1
"['gaand', 'ka', 'khadda']",1
"['gaand', 'ke', 'dhakan']",1
"['gaand', 'mein', 'kida']",1
['gaandu'],1
"['gandi', 'chut', 'mein', 'sadta', 'hua', 'ganda', 'kida']",1
['gandmasti'],1
['gujjar'],1
"['ja', 'gand', 'mara']",1
"['jhaat', 'ke', 'baal']",1
"['jhat', 'lahergaya']",1
['jhatoo'],1
['kaminey'],1
['kukarchod'],1
"['kutha', 'sala']",1
"['kuthta', 'buraanahe', 'kandaa', 'nahi', 'pattaahe']",1
"['lode', 'jesi', 'shakal', 'ke']",1
"['lode', 'ke', 'baal']",1
"['lund', 'khajoor']",1
"['lund', 'chuse']",1
"['lund', 'ke', 'ghee']",1
"['lund', 'khane', 'wala']",1
"['lund', 'luhnd']",1
"['maa', 'ki', 'behenchod']",1
"['madar', 'chod']",1
"['madarchod', 'ke', 'aulaad']",1
"['mader', 'chod']",1
['maggi'],1
"['mai', 'chod']",1
"['mera', 'mume', 'le']",1
"['mere', 'fudi', 'kha', 'ley']",1
"['meri', 'ghand', 'ka', 'baal']",1
['pannu'],1
['randi'],1
"['randi', 'ka', 'choda']",1
"['saale', 'maaderchod']",1
"['sala', 'kutta']",1
['suzit'],1
"['sust', 'lund', 'ki', 'padaish']",1
"['tatti', 'ander', 'lele']",1
"['tere', 'baap', 'ka', 'bhosda']",1
"['tere', 'baap', 'ki', 'gaand']",1
"['teri', 'chute', 'mai', 'chuglee']",1
"['teri', 'gaand', 'mein', 'haathi', 'ka', 'lund']",1
"['teri', 'maa', 'ki', 'choot']",1
"['teri', 'maa', 'ki', 'sukhi', 'bhos']",1
"['teri', 'phuphi', 'ki', 'choot', 'mein']",1
"['teri', 'bhosri', 'mein', 'aag']",1
"['teri', 'gaand', 'me', 'danda']",1
"['teri', 'ma', 'ki', 'choot', 'me', 'bara', 'sa', 'land']",1
"['teri', 'ma', 'ki', 'chudaye', 'bandar', 'se', 'hui']",1
"['teri', 'ma', 'ki', 'chut', 'me', 'meri', 'tatti']",1
"['teri', 'ma', 'randi']",1
"['teri', 'maa', 'ke', 'bable']",1
"['teri', 'maa', 'ke', 'bhosade', 'ke', 'baal']",1
['tharki'],1
"['tu', 'tera', 'maa', 'ka', 'lauda']",1
['tyagi'],1
"['ukka', 'la', 'poku']",1
"['amma', 'ki', 'chut']",1
"['bhaand', 'me', 'jaao']",1
"['bhadva', 'chodika']",1
"['bhadwe', 'ki', 'nasal']",1
"['bhen', 'ke', 'lode', 'maa', 'chuda']",1
"['bhosad', 'chod']",1
"['bhosadi', 'ke']",1
"['bhosdee', 'kay']",1
"['bhosdi', 'k']",1
['bhundi'],1
"['bolti', 'bandh', 'kar']",1
"['bulle', 'ke', 'baal']",1
['burr'],1
['bursungha'],1
['camina'],1
['chod'],1
"['chod', 'bhangra']",1
